ID	論文タイトル（統一）	別名・略称	著者	年	出現回数	関連章	関連レイヤー	関連技術・概念	ガイドでの扱い	URL	備考
P001	Dense Passage Retrieval for Open-Domain Question Answering	DPR	Karpukhin et al.	2020	2	1. RAGとは何か（必須） / 4. Retrieval（Real-time Layer）（必須）	概論 / Real-time Layer	Dense retrieval / Dense retrieval / dual encoder	RAGでは「生成モデルが賢いか」だけでなく「根拠候補を取れるか」が品質上限になる。4章のretrieval説明への橋渡しにする。	https://arxiv.org/abs/2004.04906	同URLに複数表記あり
P012	ReAct		Yao et al.	2022	3	2. アーキテクチャ（必須） / 6. Generation / Action（Real-time Layer）（必須） / 9. 高度なRAG（発展）	Control Plane / Real-time Layer	Agentic architecture / Tool use / agentic workflow / Agentic RAG	reasoning、action、tool call、observationをループさせる構成。RAGを単発QAから業務ワークフローへ広げる際の設計基盤。	https://arxiv.org/abs/2210.03629
P013	Self-RAG		Asai et al.	2023	2	2. アーキテクチャ（必須） / 6. Generation / Action（Real-time Layer）（必須）	Control Plane / Real-time Layer	Adaptive / reflective RAG / Adaptive retrieval / self-reflection	すべての質問で同じ検索回数・同じcontextを使うのではなく、必要時だけ検索・検証する設計。高度化の前提として扱う。	https://arxiv.org/abs/2310.11511
P014	The Dataflow Model		Akidau et al.	2015	1	2. アーキテクチャ（必須）	Control Plane	データ処理レイヤー分離	大量データを事前処理するBatch Layerと、ユーザー要求を即時処理するReal-time Layerを分け、再現性とレイテンシを両立する。	https://dl.acm.org/doi/10.14778/2824032.2824076
P015	Toolformer		Schick et al.	2023	3	2. アーキテクチャ（必須） / 6. Generation / Action（Real-time Layer）（必須） / 9. 高度なRAG（発展）	Control Plane / Real-time Layer	Agentic architecture / Tool use / agentic workflow / Agentic RAG	reasoning、action、tool call、observationをループさせる構成。RAGを単発QAから業務ワークフローへ広げる際の設計基盤。	https://arxiv.org/abs/2302.04761
P016	FAISS		Johnson et al.	2019	1	3. Pre-retrieval（Batch Layer）（必須）	Batch Layer	ANN / vector index	HNSW、IVF、PQ、FAISSを、検索精度・レイテンシ・メモリのトレードオフとして説明する。	https://arxiv.org/abs/1702.08734
P017	HNSW		Malkov & Yashunin	2018	1	3. Pre-retrieval（Batch Layer）（必須）	Batch Layer	ANN / vector index	HNSW、IVF、PQ、FAISSを、検索精度・レイテンシ・メモリのトレードオフとして説明する。	https://arxiv.org/abs/1603.09320
P018	LayoutLM: Pre-training of Text and Layout for Document Image Understanding		Xu et al.	2020	1	3. Pre-retrieval（Batch Layer）（必須）	Batch Layer	Layout-aware parsing	PDF、帳票、表、スキャン文書で、本文だけでなく座標、段組み、表構造、ページ番号を保持する。	https://arxiv.org/abs/1912.13318
P019	Matryoshka Representation Learning		Kusupati et al.	2022	1	3. Pre-retrieval（Batch Layer）（必須）	Batch Layer	Embedding dimension reduction	次元数を下げるとstorage、memory、latencyは下がるが、検索精度が落ちる可能性がある。次元を変える場合はretrieval評価で確認する。	https://arxiv.org/abs/2205.13147
P020	MTEB		Muennighoff et al.	2022	1	3. Pre-retrieval（Batch Layer）（必須）	Batch Layer	Sentence / document embedding	chunkをベクトル化し、cosine類似度やdot productで検索する前提を説明する。	https://arxiv.org/abs/2210.07316
P021	Nougat: Neural Optical Understanding for Academic Documents		Blecher et al.	2023	1	3. Pre-retrieval（Batch Layer）（必須）	Batch Layer	Scientific PDF parsing	数式、表、LaTeX風マークアップを含む論文PDFを構造化する難しさを説明する。	https://arxiv.org/abs/2308.13418
P022	OCR-free Document Understanding Transformer	Donut	Kim et al.	2022	1	3. Pre-retrieval（Batch Layer）（必須）	Batch Layer	OCR-free document understanding	OCR誤りの伝播を避け、画像から文書構造や項目を直接読む手法を、帳票・画像PDF対応の発展形として紹介する。	https://arxiv.org/abs/2111.15664
P023	Product Quantization		Jégou et al.	2011	1	3. Pre-retrieval（Batch Layer）（必須）	Batch Layer	ANN / vector index	HNSW、IVF、PQ、FAISSを、検索精度・レイテンシ・メモリのトレードオフとして説明する。	https://doi.org/10.1109/TPAMI.2010.57
P024	Sentence-BERT		Reimers & Gurevych	2019	1	3. Pre-retrieval（Batch Layer）（必須）	Batch Layer	Sentence / document embedding	chunkをベクトル化し、cosine類似度やdot productで検索する前提を説明する。	https://arxiv.org/abs/1908.10084
P025	TextTiling: Segmenting Text into Multi-paragraph Subtopic Passages		Hearst	1997	1	3. Pre-retrieval（Batch Layer）（必須）	Batch Layer	Text segmentation / chunking	固定長chunkだけでなく、段落、見出し、トピック境界、semantic chunkを使う理由を説明する。	https://aclanthology.org/J97-1003/
P026	ANCE		Xiong et al.	2020	1	4. Retrieval（Real-time Layer）（必須）	Real-time Layer	Dense retrieval / dual encoder	query encoderとpassage encoderでベクトル空間を作り、意味類似で検索する。	https://arxiv.org/abs/2007.00808
P027	BEIR		Thakur et al.	2021	2	4. Retrieval（Real-time Layer）（必須） / 7. 評価（Batch Layer + Real-time Layer）（必須）	Real-time Layer / Batch + Real-time + Control Plane	Retrieval benchmark	retrieval単体の改善を、業務データだけでなく既存ベンチマークの観点でも説明する。	https://arxiv.org/abs/2104.08663
P028	ColBERT		Khattab & Zaharia	2020	1	4. Retrieval（Real-time Layer）（必須）	Real-time Layer	Late interaction / multi-vector retrieval	文書を単一ベクトルに潰さず、token-level類似で高精度検索する。ただしindexサイズと計算量が増える。	https://arxiv.org/abs/2004.12832
P029	Contriever		Izacard et al.	2021	1	4. Retrieval（Real-time Layer）（必須）	Real-time Layer	Unsupervised dense retrieval	教師データが少ない業務RAGで、事前学習済みretrieverやcontrastive learningを使う位置づけを説明する。	https://arxiv.org/abs/2112.09118
P030	HyDE		Gao et al.	2023	1	4. Retrieval（Real-time Layer）（必須）	Real-time Layer	Query expansion / pseudo document	曖昧な質問を、検索しやすい仮想文書や拡張語に変換する。	https://arxiv.org/abs/2212.10496
P031	Query2doc		Wang et al.	2023	1	4. Retrieval（Real-time Layer）（必須）	Real-time Layer	Query expansion / pseudo document	曖昧な質問を、検索しやすい仮想文書や拡張語に変換する。	https://arxiv.org/abs/2303.07678
P032	Reciprocal Rank Fusion		Cormack et al.	2009	2	4. Retrieval（Real-time Layer）（必須） / 9. 高度なRAG（発展）	Real-time Layer / Control Plane	Hybrid retrieval / rank fusion / Federated / routed retrieval	BM25とdenseの弱点を補完し、RRFやscore fusionで候補を統合する。	https://dl.acm.org/doi/10.1145/1571941.1572114
P033	SPLADE		Formal et al.	2021	1	4. Retrieval（Real-time Layer）（必須）	Real-time Layer	Neural sparse retrieval	BM25の解釈性・inverted indexの効率と、ニューラルな語彙拡張を組み合わせる。	https://arxiv.org/abs/2107.05720
P034	The Probabilistic Relevance Framework: BM25 and Beyond		Robertson & Zaragoza	2009	1	4. Retrieval（Real-time Layer）（必須）	Real-time Layer	TF-IDF / BM25	語彙一致、IDF、文書長正規化、fielded search、固有名詞・型番・条文番号に強い検索として説明する。	https://doi.org/10.1561/1500000019
P035	From RankNet to LambdaRank to LambdaMART		Burges	2010	1	5. Post-retrieval / Evidence Shaping（Real-time Layer）（必須）	Real-time Layer	Learning-to-rank	LambdaMARTなど、特徴量と教師データがある場合のranking最適化を扱う。	https://www.microsoft.com/en-us/research/publication/from-ranknet-to-lambdarank-to-lambdamart-an-overview/
P036	LLMLingua		Jiang et al.	2023	1	5. Post-retrieval / Evidence Shaping（Real-time Layer）（必須）	Real-time Layer	Retrieved context compression	検索結果を短くしつつ、回答に必要な根拠を残す。	https://arxiv.org/abs/2310.05736
P037	LongLLMLingua		Jiang et al.	2023 / 2024	2	5. Post-retrieval / Evidence Shaping（Real-time Layer）（必須） / 9. 高度なRAG（発展）	Real-time Layer / Control Plane	Long-context packing / Long-context RAG	token budget、配置順、先頭・末尾優先、中央に置いた根拠が無視される問題を扱う。	https://arxiv.org/abs/2310.06839	年表記に揺れあり
P038	MMR		Carbonell & Goldstein	1998	1	5. Post-retrieval / Evidence Shaping（Real-time Layer）（必須）	Real-time Layer	Diversity / deduplication	同じ文書・同じ内容ばかりがcontextに入る問題を、関連性と新規性のバランスで抑える。	https://dl.acm.org/doi/10.1145/290941.291025
P039	monoT5		Nogueira et al.	2020	1	5. Post-retrieval / Evidence Shaping（Real-time Layer）（必須）	Real-time Layer	Sequence-to-sequence reranking	T5などの生成モデルで関連ラベルを生成し、rerankerとして使う。	https://arxiv.org/abs/2003.06713
P040	Passage Re-ranking with BERT		Nogueira & Cho	2019	1	5. Post-retrieval / Evidence Shaping（Real-time Layer）（必須）	Real-time Layer	Cross-encoder reranking	queryと候補chunkを同時入力して関連度を再判定する。高精度だが候補数に比例して遅くなる。	https://arxiv.org/abs/1901.04085
P041	RankGPT		Sun et al.	2023	1	5. Post-retrieval / Evidence Shaping（Real-time Layer）（必須）	Real-time Layer	LLM listwise reranking	LLMに複数候補をまとめて並べ替えさせる。精度・コスト・再現性・prompt依存性を扱う。	https://arxiv.org/abs/2304.09542
P042	RECOMP		Xu et al.	2023	1	5. Post-retrieval / Evidence Shaping（Real-time Layer）（必須）	Real-time Layer	Retrieved context compression	検索結果を短くしつつ、回答に必要な根拠を残す。	https://arxiv.org/abs/2310.04408
P043	ALCE: Enabling Large Language Models to Generate Text with Citations	ALCE	Gao et al.	2023	2	6. Generation / Action（Real-time Layer）（必須） / 8. 非機能要件（必須）	Real-time Layer / Control Plane	Grounded / cited generation / Grounding / faithfulness	回答文と出典を対応づけ、引用品質、完全性、検証可能性を設計する。	https://arxiv.org/abs/2305.14627	同URLに複数表記あり
P044	Chain-of-Verification		Dhuliawala et al.	2023	1	6. Generation / Action（Real-time Layer）（必須）	Real-time Layer	Verification / hallucination reduction	claim単位で検証し、回答前後に事実確認を行う。	https://arxiv.org/abs/2309.11495
P045	FActScore		Min et al.	2023	2	6. Generation / Action（Real-time Layer）（必須） / 7. 評価（Batch Layer + Real-time Layer）（必須）	Real-time Layer / Batch + Real-time + Control Plane	Verification / hallucination reduction / Factuality / attribution評価	claim単位で検証し、回答前後に事実確認を行う。	https://arxiv.org/abs/2305.14251
P046	FLARE		Jiang et al.	2023	1	6. Generation / Action（Real-time Layer）（必須）	Real-time Layer	Adaptive retrieval / self-reflection	いつ検索するか、検索結果を使うべきか、自分の回答を批評するかをモデル側で制御する発展形として扱う。	https://arxiv.org/abs/2305.06983
P047	Not what you've signed up for: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection	Indirect Prompt Injection	Greshake et al.	2023	2	6. Generation / Action（Real-time Layer）（必須） / 8. 非機能要件（必須）	Real-time Layer / Control Plane	Prompt injection defense / Indirect prompt injection	retrieved contextに含まれる悪意ある指示を、命令ではなくデータとして扱う設計を説明する。	https://arxiv.org/abs/2302.12173	同URLに複数表記あり
P048	RARR		Gao et al.	2022	1	6. Generation / Action（Real-time Layer）（必須）	Real-time Layer	Post-hoc attribution / revision	生成済み回答に根拠を付与し、unsupported claimを修正する処理を扱う。	https://arxiv.org/abs/2210.08726
P049	WebGPT		Nakano et al.	2021	1	6. Generation / Action（Real-time Layer）（必須）	Real-time Layer	Grounded / cited generation	回答文と出典を対応づけ、引用品質、完全性、検証可能性を設計する。	https://arxiv.org/abs/2112.09332
P050	ARES		Saad-Falcon et al.	2023	1	7. 評価（Batch Layer + Real-time Layer）（必須）	Batch + Real-time + Control Plane	RAG自動評価	context relevance、faithfulness、answer relevance、citation qualityなどを、RAG固有の評価軸として扱う。	https://arxiv.org/abs/2311.09476
P051	Cumulated Gain-based Evaluation of IR Techniques		Järvelin & Kekäläinen	2002	1	7. 評価（Batch Layer + Real-time Layer）（必須）	Batch + Real-time + Control Plane	Retrieval metrics	recall@k、precision@k、MRR、nDCGを、検索漏れとランキング品質の指標として説明する。	https://doi.org/10.1145/582415.582418
P052	FEVER		Thorne et al.	2018	1	7. 評価（Batch Layer + Real-time Layer）（必須）	Batch + Real-time + Control Plane	Factuality / attribution評価	atomic fact、support/refute/not enough info、citation supportを評価する。	https://aclanthology.org/N18-1074/
P053	G-Eval		Liu et al.	2023	1	7. 評価（Batch Layer + Real-time Layer）（必須）	Batch + Real-time + Control Plane	LLM-as-a-judge	人手評価の代替ではなく、rubric付きのスケーラブルな補助評価として使う。biasと校正を説明する。	https://arxiv.org/abs/2303.16634
P054	Judging LLM-as-a-Judge		Zheng et al.	2023	1	7. 評価（Batch Layer + Real-time Layer）（必須）	Batch + Real-time + Control Plane	LLM-as-a-judge	人手評価の代替ではなく、rubric付きのスケーラブルな補助評価として使う。biasと校正を説明する。	https://arxiv.org/abs/2306.05685
P055	RAGAS		Es et al.	2023	2	7. 評価（Batch Layer + Real-time Layer）（必須） / 8. 非機能要件（必須）	Batch + Real-time + Control Plane / Control Plane	RAG自動評価 / Grounding / faithfulness	context relevance、faithfulness、answer relevance、citation qualityなどを、RAG固有の評価軸として扱う。	https://arxiv.org/abs/2309.15217
P056	RAGChecker		Ru et al.	2024	1	7. 評価（Batch Layer + Real-time Layer）（必須）	Batch + Real-time + Control Plane	Fine-grained RAG診断	retrieval failure、generation failure、claim-level hallucinationを分けて失敗分析する。	https://arxiv.org/abs/2408.08067
P057	RefChecker		Hu et al.	2024	1	7. 評価（Batch Layer + Real-time Layer）（必須）	Batch + Real-time + Control Plane	Fine-grained RAG診断	retrieval failure、generation failure、claim-level hallucinationを分けて失敗分析する。	https://arxiv.org/abs/2405.14486
P058	Datasheets for Datasets		Gebru et al.	2018	1	8. 非機能要件（必須）	Control Plane	Privacy / sensitive information handling	PII、秘密情報、prompt/log/context/memoryへの保存範囲を明確にする。	https://arxiv.org/abs/1803.09010
P059	On the Dangers of Stochastic Parrots		Bender et al.	2021	1	8. 非機能要件（必須）	Control Plane	Privacy / sensitive information handling	PII、秘密情報、prompt/log/context/memoryへの保存範囲を明確にする。	https://dl.acm.org/doi/10.1145/3442188.3445922
P060	PoisonedRAG: Knowledge Corruption Attacks to Retrieval-Augmented Generation of Large Language Models		Zou et al.	2024	1	8. 非機能要件（必須）	Control Plane	Knowledge poisoning / data poisoning	悪意ある文書や改ざんchunkがKBに混入し、特定質問に対して攻撃者の望む回答を誘導するリスクを扱う。	https://arxiv.org/abs/2402.07867
P061	ColPali		Faysse et al.	2024	1	9. 高度なRAG（発展）	Control Plane	Multimodal RAG	text、image、table、audio、video、layoutを統合して検索・生成する。	https://arxiv.org/abs/2407.01449
P062	CONQRR: Conversational Query Rewriting for Retrieval with Reinforcement Learning		Wu et al.	2021	1	9. 高度なRAG（発展）	Control Plane	Conversational query rewriting	会話中の省略・代名詞・前提を補い、retrieverが処理しやすいstandalone queryへ変換する。	https://arxiv.org/abs/2112.08558
P063	Conversational Dense Retrieval		Yu et al.	2021	1	9. 高度なRAG（発展）	Control Plane	Conversational search / CQA	会話履歴を踏まえた検索・回答の難しさを扱う。履歴をすべて入れるのではなく、検索に必要な文脈を選ぶ。	https://arxiv.org/abs/2105.04166
P064	DIN-SQL		Pourreza & Rafiei	2023	1	9. 高度なRAG（発展）	Control Plane	Structured Data RAG / Text-to-SQL	自然言語質問をSQLやAPI queryに変換し、表形式データを直接参照する。	https://arxiv.org/abs/2304.11015
P065	From Local to Global: A Graph RAG Approach to Query-Focused Summarization		Edge et al.	2024	1	9. 高度なRAG（発展）	Control Plane	GraphRAG	entity / relation / community summaryを使い、局所検索だけでは弱い全体把握・関係探索・multi-hopに対応する。	https://arxiv.org/abs/2404.16130
P066	RAFT: Adapting Language Model to Domain Specific RAG		Zhang et al.	2024	1	9. 高度なRAG（発展）	Control Plane	Retrieval-aware training / RAFT	domain RAGで、正しい根拠とdistractorを見分け、根拠を引用しながら答えるようにfine-tuningする。	https://arxiv.org/abs/2403.10131
P067	RAG-Anything		Guo et al.	2025	1	9. 高度なRAG（発展）	Control Plane	Multimodal RAG	text、image、table、audio、video、layoutを統合して検索・生成する。	https://arxiv.org/abs/2510.12323
P068	RAPTOR		Sarthi et al.	2024	1	9. 高度なRAG（発展）	Control Plane	Hierarchical RAG / RAPTOR	chunk、要約、階層nodeを作り、質問粒度に応じて検索する。概要質問や長文理解に向く。	https://arxiv.org/abs/2401.18059
P069	RAT-SQL		Wang et al.	2019	1	9. 高度なRAG（発展）	Control Plane	Structured Data RAG / Text-to-SQL	自然言語質問をSQLやAPI queryに変換し、表形式データを直接参照する。	https://arxiv.org/abs/1911.04942
P070	Retrieval-Augmented Dual Instruction Tuning		Lin et al.	2023	1	9. 高度なRAG（発展）	Control Plane	RA-DIT / retriever-generator最適化	retrieverとLMを別々に最適化するだけでなく、RAG全体の出力品質に合わせて調整する考え方。	https://arxiv.org/abs/2310.01352
